Facility Id,Facility Name,City,State,Zip Code,Address,Latitude,Longitude,Total reported direct emissions,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,Stationary Combustion,Electricity Generation
1010524,Northwest Ia. Area Solid Waste Agency,SHELDON,IA,51201,4540 360th ST.,43.127228,-95.893818,"52,231.10",47.60,"52,183.50",,47.60,
1000031,Northwest Regional Landfill,Surprise,AZ,85387,19401 W. Deer Valley Rd,33.68202,-112.4701,"83,462.40",131.23,"83,330.85",0.32,131.69,
1005574,Northwestern Memorial Hospital,Chicago,IL,60611,251 E Huron Street,41.894551,-87.62092,"25,463.05","25,437.00",11.75,14.30,"25,463.05",
1001470,Norwalk Harbor Station,SOUTH NORWALK,CT,06854,ONE MANRESA ISLAND AVE,41.0732,-73.4098,"72,924.91","72,674.00",74.20,176.71,685.17,"72,239.75"
1006649,Novo Biopower,SNOWFLAKE,AZ,85937,4047 Catalyst Rd.,34.503981,-110.33618,"753,135.35","747,804.80","1,948.25","3,382.30","753,135.35",
1007676,Nucla,NUCLA,CO,81424,30739 DD 30 ROAD,38.2387,-108.5083,"574,800.54","570,193.60","1,684.75","2,922.19","1,221.88","573,578.66"
1005700,Nucor Steel Gallatin LLC,GHENT,KY,41045,4831 US 42 W,38.766667,-85.004167,"188,567.12","188,560.00",3.25,3.87,"6,795.12",
1003457,"Nucor Steel Tuscaloosa, Inc.",Tuscaloosa,AL,35404,1700 Holt Road NE,33.23375,-87.50693,"270,236.19","270,138.10",44.75,53.34,"95,004.49",
1000922,Nueces Bay,CORPUS CHRISTI,TX,78402,2002 NAVIGATION BOULEVARD,27.8182,-97.4189,"873,863.01","872,975.80",404.75,482.46,,"873,863.01"
1000848,O H Hutchings,MIAMISBURG,OH,45342,9200 CHAUTAUQUA RD,39.6094,-84.2931,"218,548.93","217,414.70",58.75,"1,075.48",228.40,"218,320.53"
1005975,O L S ENERGY-AGNEWS,SAN JOSE,CA,95134,3800 Cisco Way,37.408333,-121.929167,"99,642.92","99,539.90",47.00,56.02,"99,642.92",
1000570,O W Sommers,SAN ANTONIO,TX,78223,12940 S US Hwy 181,29.3078,-98.3244,"510,205.66","509,687.80",236.25,281.61,132.70,"510,072.96"
1005841,O'HARE INTERNATIONAL AIRPORT,CHICAGO,IL,60666,10510 W ZEMKE ROAD,41.99575,-87.88603,"52,222.15","52,167.90",24.75,29.50,"52,222.15",
1002722,O-N MINERALS (LUTTRELL) CO.,LUTTRELL,TN,37779,486 CLINCH VALLEY ROAD,36.22911,-83.71536,"245,591.87","244,761.80",303.50,526.57,"102,387.87",
1006362,O-N MINERALS CHEMSTONE COMPANY,CLEAR BROOK,VA,22624,508 QUARRY LANE,39.25669,-78.0848,0.00,0.00,,,0.00,
1004512,OAK GROVE MINE,ADGER,AL,35006,8800 OAK GROVE MINE ROAD,33.45075,-87.03723,"25,152.48","24,959.00",71.00,122.48,"25,152.48",
1002477,OAK GROVE SANITARY LANDFILL,WINDER,GA,30680,967 CARL BETHLEHEM ROAD,33.96532,-83.7731,"48,757.50",,"48,757.50",,,
1007581,OAK RIDGE RECYCLING & DISPOSAL FACILITY,LOGANSPORT,IN,46947,2905 SOUTH 150 EAST,40.723,-86.3461,"44,602.33",346.48,"44,255.65",0.19,371.83,
1004089,OAK SPRING TURBINE COMPRESSOR STATION,SPRING GLEN,UT,84526,,39.6533,-110.9802,"60,871.51","60,808.56",28.68,34.27,"60,871.51",
1003686,OAKLAND HEIGHTS DEVELOPMENT LANDFILL,AUBURN HILLS,MI,48326,2350 BROWN ROAD,42.708547,-83.247952,"139,910.30",22.80,"139,887.50",,22.80,
1007582,OAKRIDGE LANDFILL INCORPORATED,DORCHESTER,SC,29437,2183 HIGHWAY 78,33.1403,-80.36284,"45,574.81",,"45,574.81",,,
1001666,OCCIDENTAL CHEMICAL CORP - CONVENT FACILITY,CONVENT,LA,70723,7377 HIGHWAY 3214,30.05509,-90.83084,"72,379.65","71,639.30",337.75,402.60,"72,379.65",
